,geometry,color,mw,plantName,year
1488,"13521    POLYGON ((233636.044 4318435.235, 233593.203 4...
13522    POLYGON ((233636.044 4318435.235, 233593.203 4...
13523    POLYGON ((233636.044 4318435.235, 233593.203 4...
13524    POLYGON ((233636.044 4318435.235, 233593.203 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",8896717.0,Warren County-NG,2017
1383,"13521    POLYGON ((233266.167 4318435.235, 233225.108 4...
13522    POLYGON ((233266.167 4318435.235, 233225.108 4...
13523    POLYGON ((233266.167 4318435.235, 233225.108 4...
13524    POLYGON ((233266.167 4318435.235, 233225.108 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",8526840.0,Warren County-NG,2016
1613,"17290    POLYGON ((266201.288 4072238.822, 266160.650 4...
17291    POLYGON ((266201.288 4072238.822, 266160.650 4...
17292    POLYGON ((266201.288 4072238.822, 266160.650 4...
17293    POLYGON ((266201.288 4072238.822, 266160.650 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",8439453.0,Brunswick County Power Station-NG,2018
65,"5681     POLYGON ((297305.040 4139937.730, 297265.016 4...
5682     POLYGON ((297305.040 4139937.730, 297265.016 4...
26156    POLYGON ((297305.040 4139937.730, 297265.016 4...
26157    POLYGON ((297305.040 4139937.730, 297265.016 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",8311736.0,Chesterfield-BIT,2002
136,"5681     POLYGON ((297257.744 4139937.730, 297217.948 4...
5682     POLYGON ((297257.744 4139937.730, 297217.948 4...
26156    POLYGON ((297257.744 4139937.730, 297217.948 4...
26157    POLYGON ((297257.744 4139937.730, 297217.948 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",8264440.0,Chesterfield-BIT,2003
633,"5681     POLYGON ((297252.489 4139937.730, 297212.718 4...
5682     POLYGON ((297252.489 4139937.730, 297212.718 4...
26156    POLYGON ((297252.489 4139937.730, 297212.718 4...
26157    POLYGON ((297252.489 4139937.730, 297212.718 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",8259185.107999999,Chesterfield-BIT,2009
1595,"13521    POLYGON ((232942.449 4318435.235, 232902.948 4...
13522    POLYGON ((232942.449 4318435.235, 232902.948 4...
13523    POLYGON ((232942.449 4318435.235, 232902.948 4...
13524    POLYGON ((232942.449 4318435.235, 232902.948 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",8203122.0,Warren County-NG,2018
1505,"17290    POLYGON ((265930.912 4072238.822, 265891.576 4...
17291    POLYGON ((265930.912 4072238.822, 265891.576 4...
17292    POLYGON ((265930.912 4072238.822, 265891.576 4...
17293    POLYGON ((265930.912 4072238.822, 265891.576 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",8169077.0,Brunswick County Power Station-NG,2017
2,"5681     POLYGON ((297105.939 4139937.730, 297066.874 4...
5682     POLYGON ((297105.939 4139937.730, 297066.874 4...
26156    POLYGON ((297105.939 4139937.730, 297066.874 4...
26157    POLYGON ((297105.939 4139937.730, 297066.874 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",8112635.0,Chesterfield-BIT,2001
289,"5681     POLYGON ((297105.787 4139937.730, 297066.723 4...
5682     POLYGON ((297105.787 4139937.730, 297066.723 4...
26156    POLYGON ((297105.787 4139937.730, 297066.723 4...
26157    POLYGON ((297105.787 4139937.730, 297066.723 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",8112483.0,Chesterfield-BIT,2005
452,"5681     POLYGON ((297092.151 4139937.730, 297053.153 4...
5682     POLYGON ((297092.151 4139937.730, 297053.153 4...
26156    POLYGON ((297092.151 4139937.730, 297053.153 4...
26157    POLYGON ((297092.151 4139937.730, 297053.153 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",8098847.214,Chesterfield-BIT,2007
371,"5681     POLYGON ((296424.405 4139937.730, 296388.622 4...
5682     POLYGON ((296424.405 4139937.730, 296388.622 4...
26156    POLYGON ((296424.405 4139937.730, 296388.622 4...
26157    POLYGON ((296424.405 4139937.730, 296388.622 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",7431101.0,Chesterfield-BIT,2006
541,"5681     POLYGON ((296315.534 4139937.730, 296280.275 4...
5682     POLYGON ((296315.534 4139937.730, 296280.275 4...
26156    POLYGON ((296315.534 4139937.730, 296280.275 4...
26157    POLYGON ((296315.534 4139937.730, 296280.275 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",7322230.262999999,Chesterfield-BIT,2008
212,"5681     POLYGON ((296132.301 4139937.730, 296097.924 4...
5682     POLYGON ((296132.301 4139937.730, 296097.924 4...
26156    POLYGON ((296132.301 4139937.730, 296097.924 4...
26157    POLYGON ((296132.301 4139937.730, 296097.924 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",7138997.0,Chesterfield-BIT,2004
385,"7527    POLYGON ((176743.589 4086749.144, 176710.169 4...
7528    POLYGON ((176743.589 4086749.144, 176710.169 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6940393.0,Clover-BIT,2006
727,"5681     POLYGON ((295684.369 4139937.730, 295652.150 4...
5682     POLYGON ((295684.369 4139937.730, 295652.150 4...
26156    POLYGON ((295684.369 4139937.730, 295652.150 4...
26157    POLYGON ((295684.369 4139937.730, 295652.150 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6691065.365,Chesterfield-BIT,2010
226,"7527    POLYGON ((176484.054 4086749.144, 176451.884 4...
7528    POLYGON ((176484.054 4086749.144, 176451.884 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6680858.0,Clover-BIT,2004
14,"7527    POLYGON ((176483.317 4086749.144, 176451.150 4...
7528    POLYGON ((176483.317 4086749.144, 176451.150 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6680121.0,Clover-BIT,2001
467,"7527    POLYGON ((176475.573 4086749.144, 176443.444 4...
7528    POLYGON ((176475.573 4086749.144, 176443.444 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6672377.435,Clover-BIT,2007
1212,"5681     POLYGON ((295560.299 4139937.730, 295528.677 4...
5682     POLYGON ((295560.299 4139937.730, 295528.677 4...
26156    POLYGON ((295560.299 4139937.730, 295528.677 4...
26157    POLYGON ((295560.299 4139937.730, 295528.677 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6566994.997,Chesterfield-BIT,2015
150,"7527    POLYGON ((176221.665 4086749.144, 176190.758 4...
7528    POLYGON ((176221.665 4086749.144, 176190.758 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6418469.0,Clover-BIT,2003
