plant_code,state,fuels
525,CO,"['DFO', 'BIT', nan, 'NG']"
527,CO,"['BIT', 'WO']"
529,CA,['SUN']
531,CA,['WAT']
533,AL,"['DFO', nan, 'NG']"
534,CA,['WAT']
535,CA,['NG']
537,CA,['WAT']
539,CT,['WAT']
540,CT,['KER']
541,CT,['WAT']
542,CT,['KER']
544,CT,"[nan, 'JF', 'KER', 'NG', 'DFO', 'RFO']"
546,CT,"['DFO', nan, 'RFO', 'NG']"
547,MA,['WAT']
550,WA,"[nan, 'WDS', 'NG']"
551,CT,['WAT']
552,CT,"['DFO', 'WAT']"
553,CT,['WAT']
554,CT,['WAT']
557,CT,"['WAT', 'JF']"
559,CT,['WAT']
560,CT,['WAT']
561,CT,['KER']
562,CT,"[nan, 'RFO', 'KER', 'NG']"
563,CT,['KER']
564,FL,"[nan, 'BIT', 'NG', 'DFO', 'LFG']"
565,CT,['KER']
566,CT,['NUC']
568,CT,"[nan, 'KER', 'NG', 'SUB', 'DFO', 'RFO']"
579,NY,['WAT']
581,CT,['DFO']
583,CT,['WAT']
584,NM,['WAT']
585,CA,['WAT']
586,CA,['WAT']
589,VT,"['DFO', 'WDS', 'NG']"
591,DE,['DFO']
592,DE,['DFO']
593,DE,"['DFO', nan, 'RFO', 'NG']"
594,DE,"['DFO', 'BIT', nan]"
597,DE,['DFO']
599,DE,"['DFO', 'NG']"
602,MD,['BIT']
607,WA,"['DFO', 'NG']"
609,FL,"['DFO', 'RFO', 'NG']"
610,FL,['NG']
612,FL,"['DFO', nan, 'NG']"
613,FL,"['DFO', 'NG']"
617,FL,"['DFO', 'RFO', 'NG']"
619,FL,"['DFO', 'RFO', 'NG']"
620,FL,"[nan, 'RFO', 'DFO', 'NG']"
621,FL,"[nan, 'NG', 'NUC', 'DFO', 'RFO']"
622,WA,['WAT']
624,FL,"['DFO', nan, 'NG']"
625,NY,['WAT']
626,CA,['WAT']
627,FL,['DFO']
628,FL,"['BIT', 'NUC', 'NG']"
629,FL,['DFO']
630,FL,['NG']
632,CA,['WAT']
634,FL,"['DFO', nan, 'RFO', 'NG']"
637,FL,['DFO']
638,FL,"['DFO', nan, 'RFO', 'NG']"
641,FL,"[nan, 'BIT', 'NG']"
642,FL,['BIT']
643,FL,"['DFO', 'BIT', 'NG']"
645,FL,"[nan, 'BIT', 'PC', 'NG', 'SUN', 'DFO']"
646,FL,"['DFO', 'BIT', nan, 'PC']"
647,FL,['RFO']
649,GA,['NUC']
650,NY,['WAT']
658,FL,"['DFO', nan, 'RFO', 'NG']"
663,FL,"['DFO', 'BIT', 'RFO', 'NG']"
664,FL,"['DFO', 'RFO', 'NG']"
665,FL,"['DFO', nan, 'NG']"
666,FL,"['DFO', nan, 'NG']"
667,FL,"[nan, 'BIT', 'PC', 'NG', 'DFO', 'RFO', 'LFG']"
668,FL,"['RFO', 'NG']"
672,FL,"['DFO', nan, 'NG']"
673,FL,"['DFO', nan, 'NG']"
674,WY,['WAT']
675,FL,"['DFO', 'RFO', 'NG']"
676,FL,"[nan, 'BIT', 'PC', 'NG', 'DFO', 'RFO']"
678,VT,['WAT']
679,FL,['DFO']
681,FL,['DFO']
682,CA,['WAT']
683,FL,"['DFO', 'NG']"
685,FL,"['DFO', 'NG']"
688,FL,"[nan, 'DFO', 'NG']"
689,FL,"['DFO', nan, 'RFO', 'NG']"
690,FL,['WAT']
692,WY,['WND']
696,FL,['DFO']
698,MO,['DFO']
699,GA,"['DFO', 'BIT', nan, 'NG']"
700,GA,"['DFO', 'NG']"
701,GA,['WAT']
702,AL,['WAT']
703,GA,"['DFO', 'BIT', nan]"
704,GA,['WAT']
706,GA,['WAT']
707,AL,['WAT']
708,GA,"['DFO', 'BIT']"
709,GA,"['DFO', 'BIT']"
710,GA,"['DFO', 'BIT', nan, 'NG']"
711,AL,['WAT']
712,GA,['WAT']
714,CA,['WAT']
715,GA,"['DFO', nan, 'RFO']"
717,GA,['WAT']
718,GA,['WAT']
719,GA,['WAT']
720,GA,['WAT']
722,GA,['WAT']
723,GA,['WAT']
724,GA,['WAT']
725,GA,['WAT']
727,GA,"['DFO', 'BIT', nan]"
728,GA,"[nan, 'BIT', 'DFO', 'NG']"
729,GA,['WAT']
732,GA,"['DFO', 'NG']"
733,GA,"['DFO', 'BIT', 'RFO', 'NG']"
734,GA,['NG']
736,GA,['WAT']
745,CA,['WAT']
747,FL,"['RFO', 'NG']"
748,FL,"['DFO', nan, 'RFO']"
751,CA,['WAT']
752,GA,['WAT']
753,GA,"[nan, 'BIT', 'NG']"
754,GA,['WAT']
757,GA,['WAT']
758,GA,['WAT']
759,GA,['WAT']
760,GA,['WAT']
761,GA,['WAT']
762,OK,['NG']
764,HI,['RFO']
765,HI,['RFO']
766,HI,"['DFO', 'RFO']"
768,HI,['DFO']
769,HI,['DFO']
771,HI,['WAT']
772,HI,"['DFO', 'RFO']"
773,WA,['WAT']
774,HI,['WAT']
776,CA,['WAT']
783,ME,['WAT']
784,ME,['WAT']
785,NE,['WAT']
788,VT,['WAT']
789,AK,['DFO']
790,ID,['WAT']
791,TX,['WAT']
792,HI,"['DFO', 'MWH']"
794,TX,['WAT']
805,ME,['WAT']
808,NY,['WAT']
809,ID,['WAT']
810,ID,['WAT']
811,ID,['WAT']
812,ID,['WAT']
813,ID,['WAT']
814,ID,['WAT']
815,ID,['WAT']
816,ID,['WAT']
817,ID,['DFO']
818,ID,['WAT']
819,ID,['WAT']
820,ID,['WAT']
821,ID,['WAT']
822,ID,['WAT']
823,ID,['WAT']
825,ID,['WAT']
826,ID,['WAT']
827,ID,['WAT']
829,ID,['WAT']
831,ID,['WAT']
833,ID,['WAT']
835,ID,['WAT']
839,CA,['WAT']
840,ID,['WAT']
841,ID,['WAT']
843,ID,['WAT']
844,ID,['WAT']
846,CA,['WAT']
850,ID,['WAT']
851,ID,['WAT']
856,IL,"['DFO', nan, 'SUB']"
860,IL,['NG']
861,IL,"['BIT', 'RC', 'SUB']"
862,IL,['NG']
865,IL,['DFO']
866,IL,"['DFO', 'NG']"
867,IL,"['SUB', 'NG']"
869,IL,['NUC']
870,IL,"[nan, 'DFO', 'NG']"
874,IL,['NG']
876,IL,['SUB']
877,IL,"['KER', 'NG']"
879,IL,"['BIT', 'SUB', 'NG']"
880,IL,['NUC']
882,IL,"['DFO', 'NG']"
883,IL,"['DFO', nan, 'SUB', 'NG']"
884,IL,"['DFO', 'SUB']"
886,IL,"['DFO', nan, 'SUB', 'NG']"
887,IL,"[nan, 'RC', 'SUB', 'NG']"
889,IL,"[nan, 'OTH', 'RC', 'SUB']"
891,IL,"[nan, 'BIT', 'SUB', 'DFO', 'RFO', 'RC']"
892,IL,"['RC', 'SUB']"
894,IL,"['DFO', 'NG']"
895,IL,['NG']
897,IL,"[nan, 'BIT', 'NG', 'SUB', 'DFO']"
898,IL,"[nan, 'RC', 'SUB', 'NG']"
899,IL,"['WAT', 'NG']"
902,CA,['GEO']
903,IL,['WAT']
905,CA,['WAT']
913,IL,"['DFO', nan, 'NG']"
917,WA,['WAT']
925,UT,['WAT']
934,IL,"['DFO', nan, 'NG']"
935,IL,['DFO']
936,IL,"['DFO', nan, 'NG']"
937,IL,"['DFO', nan, 'NG']"
940,IL,['DFO']
941,IL,"['DFO', nan, 'NG']"
943,IL,"['DFO', nan, 'NG']"
944,IL,"[nan, 'NG', 'SUN', 'DFO', 'WND']"
946,IL,"['DFO', nan, 'NG']"
948,IL,['DFO']
949,IL,['DFO']
955,IL,"['DFO', 'JF', 'WAT', 'NG']"
956,FL,['WAT']
957,IL,"['DFO', 'NG']"
958,IL,"['DFO', nan, 'NG']"
959,IL,['DFO']
960,IL,"['DFO', nan, 'SUN', 'NG']"
961,IL,"['DFO', nan, 'BIT', 'NG']"
963,IL,['BIT']
964,IL,"['DFO', 'BIT', nan, 'OBS']"
965,IL,['DFO']
969,IL,['DFO']
971,IL,"['DFO', nan, 'NG']"
972,IL,"['DFO', nan, 'NG']"
976,IL,"[nan, 'BIT', 'PC', 'NG', 'DFO']"
983,IN,"['BIT', 'SUB']"
986,IN,['WAT']
987,ID,['WAT']
988,IN,"[nan, 'BIT', 'SUB']"
989,IN,['WAT']
990,IN,"['DFO', nan, 'MWH', 'NG']"
991,IN,"['DFO', 'BIT', 'NG']"
992,IN,"[nan, 'PUR', 'DFO', 'NG']"
994,IN,"['DFO', 'BIT']"
995,IN,"[nan, 'BIT', 'NG']"
996,IN,"[nan, 'SUB', 'NG']"
997,IN,"[nan, 'BIT', 'SUB', 'NG']"
998,IN,['WAT']
999,IN,['WAT']
1001,IN,"['DFO', 'BIT', nan, 'NG']"
1002,IN,['DFO']
1004,IN,"[nan, 'BIT', 'NG', 'DFO', 'SGC']"
1005,IN,['WAT']
1006,IN,['DFO']
1007,IN,['NG']
1008,IN,"['DFO', 'BIT', nan]"
1010,IN,"['DFO', 'BIT']"
1011,IN,['NG']
1012,IN,"['BIT', 'NG']"
1013,IN,['NG']
1016,NC,"['DFO', 'NG']"
1020,UT,['WAT']
1024,IN,"['DFO', 'BIT']"
1037,IN,"['DFO', 'BIT', nan]"
1038,IN,"['DFO', nan, 'NG']"
1040,IN,['BIT']
1043,IN,"['DFO', 'BIT']"
1046,IA,"['DFO', nan, 'SUB', 'NG']"
1047,IA,"['DFO', 'BIT', 'SUB', nan]"
1048,IA,['NG']
1052,IA,['DFO']
1058,IA,"[nan, 'BIT', 'SUB', 'NG']"
1060,IA,['NUC']
1067,IA,['WAT']
1068,IA,['NG']
1073,IA,"[nan, 'SUB', 'NG']"
1077,IA,"[nan, 'PC', 'SUB', 'NG']"
1079,IA,['NG']
1081,IA,"[nan, 'SUB', 'NG']"
1082,IA,"[nan, 'RC', 'SUB', 'NG']"
1084,IA,['NG']
1091,IA,"['RC', 'SUB', 'NG']"
1097,IA,['NG']
1104,IA,"[nan, 'SUB', 'NG']"
1105,IA,['DFO']
1109,IA,['WAT']
1120,IA,"['DFO', nan, 'NG']"
1121,IA,['DFO']
1122,IA,"['OBS', 'NG']"
1123,IA,['DFO']
1124,IA,"['DFO', 'NG']"
1125,IA,['DFO']
1126,IA,"['DFO', nan, 'NG']"
1127,IA,"['DFO', nan, 'NG']"
1128,IA,"['DFO', nan, 'NG']"
1129,IA,"['DFO', nan, 'NG']"
1130,IA,"['DFO', 'NG']"
1131,IA,"[nan, 'BIT', 'OBS', 'WDS', 'NG', 'AB']"
1132,IA,['DFO']
1134,IA,['DFO']
1135,IA,"['DFO', nan, 'NG']"
1137,IA,"['DFO', nan, 'NG']"
1138,IA,['DFO']
1141,IA,['DFO']
1142,IA,['DFO']
1143,IA,"['DFO', nan, 'NG']"
1144,IA,['DFO']
1145,IA,"['DFO', 'NG']"
1146,IA,['DFO']
1150,IA,"['DFO', nan, 'NG']"
1153,IA,['DFO']
1154,IA,"['DFO', nan, 'NG']"
1155,IA,"['DFO', nan, 'NG']"
1156,IA,['DFO']
1157,IA,['DFO']
1158,IA,['DFO']
1160,IA,['DFO']
1162,IA,"['DFO', nan, 'NG']"
1163,IA,['DFO']
1164,IA,['DFO']
1165,IA,"['DFO', nan, 'NG']"
1166,IA,"['DFO', nan, 'NG']"
1167,IA,"['DFO', 'RC', 'SUB', 'NG']"
1168,IA,"['DFO', nan, 'NG']"
1169,IA,"['DFO', 'NG']"
1172,IA,"[nan, 'NG', 'SUN', 'DFO', 'WND']"
1173,IA,['WAT']
1175,IA,"['SUB', 'NG']"
1176,IA,"['DFO', 'NG']"
1177,IA,['DFO']
1180,IA,['DFO']
1181,IA,['DFO']
1184,IA,"['DFO', 'NG']"
1186,IA,['KER']
1187,IA,"['DFO', nan, 'NG']"
1188,IA,"['DFO', 'NG']"
1189,IA,"['DFO', 'NG']"
1190,IA,"['DFO', 'NG']"
1191,IA,['DFO']
1192,IA,"['DFO', nan, 'NG']"
1193,IA,"['DFO', nan, 'NG']"
1194,IA,"['DFO', nan, 'NG']"
1198,IA,['DFO']
1199,IA,['DFO']
1200,IA,"['DFO', nan, 'NG']"
1201,IA,"['DFO', 'NG']"
1202,IA,['DFO']
1203,IA,"['DFO', nan, 'NG']"
1206,IA,"['DFO', nan, 'NG']"
1217,IA,"['DFO', 'NG']"
1218,IA,"['BIT', 'NG']"
1224,KS,['DFO']
1225,KS,['NG']
1230,KS,['NG']
1233,KS,['NG']
1235,KS,['NG']
1239,KS,"[nan, 'BIT', 'PC', 'NG', 'DFO']"
1240,KS,"['DFO', nan, 'NG']"
1241,KS,"[nan, 'BIT', 'SUB']"
1242,KS,['NG']
1243,KS,"['RFO', 'NG']"
1248,KS,"['DFO', nan, 'RFO', 'NG']"
1250,KS,"['BIT', 'SUB', 'NG']"
1251,KS,['NG']
1252,KS,"['DFO', nan, 'SUB', 'NG']"
1258,KS,"['DFO', 'NG']"
1259,KS,"['DFO', nan, 'NG']"
1261,KS,"['DFO', nan, 'NG']"
1262,KS,"['DFO', nan, 'NG']"
1263,KS,"['DFO', nan, 'NG']"
1264,KS,"['DFO', 'NG']"
1265,KS,"['DFO', nan, 'NG']"
1266,KS,"['DFO', nan, 'NG']"
1267,KS,"[nan, 'DFO', 'NG']"
1268,KS,"[nan, 'DFO', 'NG']"
1270,KS,"['DFO', 'NG']"
1271,KS,"['DFO', 'NG']"
1272,KS,"['DFO', nan, 'NG']"
1274,KS,"['DFO', 'NG']"
1275,KS,"['DFO', 'NG']"
1276,KS,['DFO']
1278,KS,"['DFO', 'NG']"
1279,KS,"['DFO', 'NG']"
1280,KS,"['DFO', nan, 'NG']"
1283,KS,"['DFO', nan, 'NG']"
1285,KS,"['DFO', 'NG']"
1286,KS,"['DFO', nan, 'NG']"
1287,KS,"['DFO', 'NG']"
1289,KS,"['DFO', 'NG']"
1291,KS,"['DFO', nan, 'RFO', 'NG']"
1292,KS,"['DFO', nan, 'NG']"
1294,KS,['NG']
1295,KS,"['DFO', nan, 'NG']"
1296,KS,"['DFO', 'NG']"
1297,KS,"['DFO', 'NG']"
1298,KS,['NG']
1299,KS,"['DFO', nan, 'RFO', 'NG']"
1300,KS,"['DFO', nan, 'NG']"
1305,KS,"['DFO', nan, 'RFO', 'NG']"
1306,KS,"['DFO', 'NG']"
1307,KS,"['DFO', nan, 'NG']"
1308,KS,"['DFO', nan, 'NG']"
1312,KS,"['DFO', 'NG']"
1313,KS,"['DFO', nan, 'NG']"
1314,KS,"['DFO', nan, 'NG']"
1315,KS,"['DFO', nan, 'NG']"
1316,KS,"[nan, 'DFO', 'NG']"
1317,KS,"['DFO', nan, 'NG']"
1319,KS,"['DFO', nan, 'NG']"
1320,KS,"['DFO', 'NG']"
1321,KS,"['DFO', 'NG']"
1322,KS,['DFO']
1324,KS,"['DFO', 'NG']"
1325,KS,"['DFO', 'NG']"
1326,KS,"['DFO', 'NG']"
1327,KS,"['DFO', 'NG']"
1328,KS,"['DFO', 'NG']"
1329,KS,"['DFO', nan, 'NG']"
1330,KS,"['DFO', nan, 'NG']"
1332,KS,"['DFO', 'NG']"
1334,KS,"['DFO', 'NG']"
1336,KS,['NG']
1353,KY,"['BIT', 'NG']"
1354,KY,['WAT']
1355,KY,"[nan, 'BIT', 'NG', 'SUN', 'DFO']"
1356,KY,"[nan, 'RC', 'SUB']"
1357,KY,"['DFO', 'BIT', nan]"
1358,KY,"[nan, 'DFO', 'NG']"
1359,KY,['WAT']
1360,KY,['BIT']
1361,KY,"['DFO', 'BIT']"
1363,KY,"[nan, 'BIT', 'NG']"
1364,KY,"['BIT', 'NG']"
1365,KY,['WAT']
1366,KY,['NG']
1367,KY,['NG']
1368,KY,['NG']
1371,KY,['WAT']
1374,KY,"[nan, 'BIT', 'TDF', 'PC']"
1376,KY,['DFO']
1377,KY,['WAT']
1378,KY,"[nan, 'BIT', 'RC', 'NG']"
1379,KY,"[nan, 'BIT', 'SUB']"
1380,KY,['WAT']
1381,KY,"['BIT', 'NG']"
1382,KY,"['DFO', 'BIT']"
1383,KY,"[nan, 'BIT', 'DFO', 'NG']"
1384,KY,"['BIT', 'WDS']"
1385,KY,['BIT']
1391,LA,"['DFO', 'OG', 'NG']"
1392,LA,['NG']
